start	end	versus	chrom
13999859	14120881	right	chr1
14126497	14321929	left	chr1
14327688	14379624	right	chr1
14402586	14551998	left	chr1
14557716	14822242	right	chr1
14827798	15023705	left	chr1
15029290	15040775	right	chr1
15046331	15161681	left	chr1
15166932	15276697	right	chr1
15282366	15362523	left	chr1
15374002	15793825	right	chr1
15816683	15891565	left	chr1
15897607	15960691	right	chr1
15966277	16322832	left	chr1
16340224	16598767	right	chr1
16604485	16978470	left	chr1
16984241	17254267	right	chr1
17260149	17409674	left	chr1
17438592	17662948	right	chr1
17668315	17886846	left	chr1
17903986	18255068	right	chr1
18260595	18519401	left	chr1
18548333	18709471	left	chr1
18720515	18898832	right	chr1
18915939	19100473	left	chr1
19105811	19238080	right	chr1
19244167	19364615	left	chr1
19376284	19577450	right	chr1
19583082	19663968	left	chr1
19669372	19761464	right	chr1
19766931	19807616	left	chr1
19819123	19922492	right	chr1
19928092	20140874	left	chr1
20152637	20267361	right	chr1
20284571	20468532	left	chr1
20474253	20537638	right	chr1
20543630	20652698	left	chr1
20664263	20779462	right	chr1
20785166	20808102	left	chr1
20813469	20957456	right	chr1
20963148	20980323	left	chr1
20992047	21026611	left	chr1
21032003	21314123	right	chr1
21319894	21336952	left	chr1
21342688	21365537	right	chr1
21371242	21653357	left	chr1
21658836	21728218	right	chr1
21733481	21814265	left	chr1
21819671	22026870	right	chr1
22032469	22366334	left	chr1
22372104	22394948	right	chr1
22400851	22596541	left	chr1
22602458	22924318	right	chr1
22935837	23108684	left	chr1
23119781	23194879	right	chr1
23200609	23321070	left	chr1
23326834	23372917	right	chr1
23378847	23470539	left	chr1
23476558	23913370	right	chr1
23925161	24051632	left	chr1
24056954	24080327	right	chr1
24085820	24442446	left	chr1
24453743	24471279	right	chr1
24477117	24488266	left	chr1
24500113	24626698	left	chr1
24637920	24881307	right	chr1
24887157	25047779	left	chr1
25053895	25116949	right	chr1
25122419	25237483	left	chr1
25243479	25346911	right	chr1
25352846	25438794	left	chr1
25444481	25571417	right	chr1
25576749	25645867	left	chr1
25663109	25691995	left	chr1
25697846	25737876	right	chr1
25743505	25853059	left	chr1
25858782	25967966	right	chr1
25973647	26048605	left	chr1
26060088	26180881	right	chr1
26186529	26428109	left	chr1
26433578	26502639	right	chr1
26508299	26531387	left	chr1
26536908	26560456	right	chr1
26566115	26703818	left	chr1
26709607	26819213	right	chr1
26824728	26836464	left	chr1
26847413	26922595	left	chr1
26927993	27037669	right	chr1
27043246	27152701	left	chr1
27175430	27227088	right	chr1
27232881	27347742	left	chr1
27353413	27451333	right	chr1
27456921	27652573	left	chr1
27658160	27888339	right	chr1
27894313	28020538	left	chr1
28026564	28124048	right	chr1
28129803	28256664	left	chr1
28262036	28359745	right	chr1
28365630	28434517	left	chr1
28440322	28503664	right	chr1
28515170	28601311	left	chr1
28606988	28750734	right	chr1
28756770	28900675	left	chr1
28906313	29004142	right	chr1
29009816	29026850	left	chr1
29032859	29055659	right	chr1
29061526	29130509	left	chr1
29141849	29159047	right	chr1
29164665	29331782	left	chr1
29337386	29671116	right	chr1
29676827	29855156	left	chr1
29860859	29975574	right	chr1
29981609	30274958	left	chr1
30280632	30401256	right	chr1
30406871	30527501	left	chr1
30533455	30682790	right	chr1
30688869	30935736	left	chr1
30941670	30981736	right	chr1
30987892	31240514	left	chr1
31246225	31384631	right	chr1
31395956	31441842	left	chr1
31447647	31528203	right	chr1
31534081	31637662	left	chr1
31642907	31712354	right	chr1
31717657	31758156	left	chr1
31763688	31965132	right	chr1
31970950	32114829	left	chr1
32120518	32258698	right	chr1
32270143	32304676	left	chr1
32310326	32396488	right	chr1
32402174	32448235	left	chr1
32454034	32482819	right	chr1
32488432	32591812	left	chr1
32597522	32678189	right	chr1
32683752	32775716	left	chr1
32787624	33621123	right	chr1
33626999	33650116	left	chr1
33655473	33747750	right	chr1
33753487	33926061	left	chr1
33931413	33954946	right	chr1
33960341	34035377	left	chr1
34040761	34299538	right	chr1
34317051	34414719	left	chr1
34426249	34501119	right	chr1
34506601	34541178	left	chr1
34552796	34581371	right	chr1
34593015	35138966	left	chr1
35144699	35265477	right	chr1
35276987	35386708	left	chr1
35397673	36036080	right	chr1
36041779	36059033	left	chr1
36076532	36145414	left	chr1
36151352	36277612	right	chr1
36283393	36323549	left	chr1
36329229	36358190	right	chr1
36369696	36386839	right	chr1
36392861	36484964	left	chr1
36490505	36571101	right	chr1
36576798	36967850	left	chr1
36973648	37174924	right	chr1
37180159	37433427	left	chr1
37439095	37450766	right	chr1
37456298	37554217	left	chr1
37560032	37835859	right	chr1
37841669	37950931	left	chr1
37956872	38037063	right	chr1
38042889	38123222	left	chr1
38129282	38428235	right	chr1
38434021	38721300	left	chr1
38727054	38744292	right	chr1
38750222	38836391	left	chr1
38847739	39112541	right	chr1
39118319	39209966	left	chr1
39216008	39606852	right	chr1
39618556	39681903	left	chr1
39687573	39767881	right	chr1
39773593	40314159	left	chr1
40319678	40429447	right	chr1
40434793	40596013	left	chr1
40601444	40716914	right	chr1
40722165	40774231	left	chr1
40779798	40998583	right	chr1
41004309	41119213	left	chr1
41125034	41188011	right	chr1
41193985	41280148	left	chr1
41285657	41372409	right	chr1
41377773	41418152	left	chr1
41423773	41498875	right	chr1
41504209	41590703	left	chr1
41602405	41717288	right	chr1
41723016	41820627	left	chr1
41826175	41935486	right	chr1
41941647	42119531	left	chr1
42131230	42142537	right	chr1
42148575	42257815	left	chr1
42263358	42418682	right	chr1
42424603	42487634	left	chr1
42493578	42602466	right	chr1
42608576	42677711	left	chr1
42683334	43039605	right	chr1
43045265	43505347	left	chr1
43511323	43827367	right	chr1
43832959	43954140	left	chr1
43959516	43988338	right	chr1
43994167	44310709	left	chr1
44321898	44333384	right	chr1
44350843	44419854	right	chr1
44431017	44471415	left	chr1
44477335	44500034	right	chr1
44505785	44621138	left	chr1
44626414	44730124	right	chr1
44736019	44977387	left	chr1
44989146	45132484	right	chr1
45144337	45281979	left	chr1
45287887	45776678	right	chr1
45782355	46282928	left	chr1
46288290	46420707	right	chr1
46432151	46541489	left	chr1
46552683	46760028	right	chr1
46765453	47110947	left	chr1
47116585	47208489	right	chr1
47219986	47306368	left	chr1
47311975	47427213	right	chr1
47432811	47559428	left	chr1
47570574	47628366	right	chr1
47633854	47714279	left	chr1
47720380	47823841	right	chr1
47829319	47967301	left	chr1
47984780	48237658	right	chr1
48260857	48370102	left	chr1
48375905	48530730	right	chr1
48536850	48565278	left	chr1
48571223	48611585	right	chr1
48617083	48893216	left	chr1
48904481	48950772	right	chr1
48956355	48991093	left	chr1
48996410	49088967	right	chr1
49094404	49180845	left	chr1
49186559	49255394	right	chr1
49261185	49284442	left	chr1
49301618	49341571	left	chr1
49347492	49381910	right	chr1
49393258	49468271	left	chr1
49473957	49571469	right	chr1
49577244	49704213	left	chr1
49709582	49836070	right	chr1
49841707	49910849	left	chr1
49916840	49997104	right	chr1
50003108	50100683	left	chr1
50112134	50210015	right	chr1
50227015	50330820	left	chr1
50336523	50399740	right	chr1
50405628	50572166	left	chr1
50577732	50624089	right	chr1
50629593	50762018	left	chr1
50773475	50900088	right	chr1
50905616	51009018	left	chr1
51014765	51273912	right	chr1
51279175	51290916	left	chr1
51296884	51595918	right	chr1
51607365	51630020	left	chr1
51641901	51670440	left	chr1
51676403	51814035	right	chr1
51820126	51946284	left	chr1
51952270	52021424	right	chr1
52026779	52285477	left	chr1
52296930	52371742	right	chr1
52377711	52469754	left	chr1
52475322	52544396	right	chr1
52550378	52711368	left	chr1
52717109	52843228	right	chr1
52860744	52940970	left	chr1
52946689	53291879	right	chr1
53297733	53452755	left	chr1
53464208	53665784	right	chr1
53671459	53935953	left	chr1
53941841	53959206	right	chr1
53964440	54097048	left	chr1
54102456	54476510	right	chr1
54482189	54591447	left	chr1
54602975	54763859	right	chr1
54786681	54919322	right	chr1
54925112	55534654	left	chr1
55540260	55574615	right	chr1
55580530	55603326	left	chr1
55614972	55701220	right	chr1
55706761	55799046	left	chr1
55804827	55890994	right	chr1
55896822	55914081	left	chr1
55919907	55965599	right	chr1
55971642	56023377	left	chr1
56052033	56189990	left	chr1
56195811	56310478	right	chr1
56316335	56443008	left	chr1
56448640	56540676	right	chr1
56546614	56586966	left	chr1
56592388	56678867	right	chr1
56684217	56759056	left	chr1
56765133	56805298	right	chr1
56810703	56972032	left	chr1
56977853	57023880	right	chr1
57029456	57046479	left	chr1
57052506	57219126	right	chr1
57224757	57328714	left	chr1
57334169	57638723	right	chr1
57644649	57748079	left	chr1
57754036	57880287	right	chr1
57886070	58000973	left	chr1
58006906	58236806	right	chr1
58242880	58271546	left	chr1
58277353	58409327	right	chr1
58415254	58518592	left	chr1
58547484	58605203	left	chr1
58610457	58846473	right	chr1
58852402	58932810	left	chr1
58938654	59070905	right	chr1
59076191	59087980	left	chr1
59093464	59197061	right	chr1
59202959	59358337	left	chr1
59364051	59490661	right	chr1
59496195	59639883	left	chr1
59645490	59726419	right	chr1
59732045	59840989	left	chr1
59847050	59927628	right	chr1
59938662	60048268	left	chr1
60053983	60151914	right	chr1
60157218	60289644	left	chr1
60312445	60611886	left	chr1
60623089	60767134	right	chr1
60772797	60950934	left	chr1
60962207	60991444	right	chr1
60996795	61134949	left	chr1
61140595	61215491	right	chr1
61221007	61405024	left	chr1
61410756	61504344	right	chr1
61530400	61610765	left	chr1
61616772	61685804	right	chr1
61691208	61823817	left	chr1
61829253	62007764	right	chr1
62013626	62076498	left	chr1
62082461	62548363	right	chr1
62565334	62588346	right	chr1
62594024	62605494	left	chr1
62611489	62646008	right	chr1
62651921	62772678	left	chr1
62778261	63036744	right	chr1
63042635	63077213	left	chr1
63082735	63100380	right	chr1
63105683	63249987	left	chr1
63255444	63278682	right	chr1
63283941	63502512	left	chr1
63508260	63577518	right	chr1
63582953	63657895	left	chr1
63663676	63870512	right	chr1
63876567	64181094	left	chr1
64187086	64601023	right	chr1
64606612	64790826	left	chr1
64796450	64888587	right	chr1
64894129	65003238	left	chr1
65009018	65032114	right	chr1
65037692	65049451	left	chr1
65066681	65382872	left	chr1
65394442	65463266	right	chr1
65474961	65606988	left	chr1
65613172	65716270	right	chr1
65722246	65848669	left	chr1
65854504	66032616	right	chr1
66038382	66049948	left	chr1
66055489	66107361	right	chr1
66113180	66164994	left	chr1
66176342	66285768	left	chr1
66291428	66400586	right	chr1
66412313	66440743	left	chr1
66446569	66596024	right	chr1
66601796	66676809	left	chr1
66682268	66791805	right	chr1
66803303	66987221	left	chr1
66998510	67067794	right	chr1
67073545	67200059	left	chr1
67205887	67418559	right	chr1
67430138	67579600	left	chr1
67591088	67740326	right	chr1
67746143	67838056	left	chr1
67843854	67958763	right	chr1
67964798	68056589	left	chr1
68062440	68143214	right	chr1
68148706	68217543	left	chr1
68240655	68275417	right	chr1
68280797	68459069	left	chr1
68464961	68683473	right	chr1
68689024	68786948	left	chr1
68792769	68872997	right	chr1
68879147	68890291	left	chr1
68896106	68907669	right	chr1
68913322	68936613	left	chr1
68942185	69034282	right	chr1
69040037	69114590	left	chr1
69126078	69339156	right	chr1
69344454	69442697	left	chr1
69448201	69540359	right	chr1
69546177	69615199	left	chr1
69626204	69643816	left	chr1
69649495	69701126	right	chr1
69706961	70028837	left	chr1
70034637	70115368	right	chr1
70120863	70184220	left	chr1
70190081	70356706	right	chr1
70362505	70414302	left	chr1
70425828	70534963	left	chr1
70540914	70661248	right	chr1
70666930	70695979	left	chr1
70701641	70724619	right	chr1
70730255	70908836	left	chr1
70914322	71018236	right	chr1
71023434	71104051	left	chr1
71110054	71524048	right	chr1
71529909	71569941	left	chr1
71575700	71777197	right	chr1
71782828	71811448	left	chr1
71817222	71857408	right	chr1
71863427	71892053	left	chr1
71903259	71932314	left	chr1
71937709	72030020	right	chr1
72035776	72162014	left	chr1
72168167	72191054	right	chr1
72196914	72340358	left	chr1
72345954	72461032	right	chr1
72478592	72697080	right	chr1
72702546	73323892	left	chr1
73329429	73513289	right	chr1
73519349	73645826	left	chr1
73651445	73921846	right	chr1
73938828	74122932	right	chr1
74128800	74232270	left	chr1
74237824	74347104	right	chr1
74352932	74410293	left	chr1
74416413	74525239	right	chr1
74531222	74663272	left	chr1
74669179	74698081	right	chr1
74703478	74732421	left	chr1
74738309	74881871	right	chr1
74887538	75156329	left	chr1
75162172	75173283	right	chr1
75190476	75208032	right	chr1
75213895	75328604	left	chr1
75334500	75432374	right	chr1
75438150	75926585	left	chr1
75932653	76024494	right	chr1
76030395	76133884	left	chr1
76139180	76168338	right	chr1
76173926	76271643	left	chr1
76277588	76369576	right	chr1
76375391	76415649	left	chr1
76421362	76461510	right	chr1
76467393	76576539	left	chr1
76582347	76691619	right	chr1
76702732	76737731	left	chr1
76748809	76766021	left	chr1
76772086	77168963	right	chr1
77174393	77243373	left	chr1
77249334	77266630	right	chr1
77272407	77312450	left	chr1
77318336	77398496	right	chr1
77404574	77513922	left	chr1
77530963	77542301	left	chr1
77548126	77571466	right	chr1
77576974	77829779	left	chr1
77835720	78318516	right	chr1
78324478	78399364	left	chr1
78404753	78450737	right	chr1
78456495	78537142	left	chr1
78543059	78600513	right	chr1
78606325	79071956	left	chr1
79077847	79485748	right	chr1
79491669	79554828	left	chr1
79560801	79675497	right	chr1
79681356	80135503	left	chr1
80141622	80170399	right	chr1
80175948	80411654	left	chr1
80417464	80492361	right	chr1
80498097	80659057	left	chr1
80664708	80802682	right	chr1
80808466	80992526	left	chr1
80997963	81113206	right	chr1
81118912	81147985	left	chr1
81153604	81291504	right	chr1
81297407	81326236	left	chr1
81337671	81538845	right	chr1
81544598	81671081	left	chr1
81676570	81728651	right	chr1
81734051	81860603	left	chr1
81871975	81952579	right	chr1
81958177	82085115	left	chr1
82090758	82119714	right	chr1
82125256	82481540	left	chr1
82487547	82700187	right	chr1
82706157	82866839	left	chr1
82872879	82941889	right	chr1
82947295	83091021	left	chr1
83097075	83723646	right	chr1
83729405	83838661	left	chr1
83844456	83913372	right	chr1
83918931	83976819	left	chr1
83982457	84218109	right	chr1
84229805	84373728	left	chr1
84379170	84522886	right	chr1
84540349	84609464	right	chr1
84614680	84724013	left	chr1
84729881	84770358	right	chr1
84775682	85155620	left	chr1
85515338	85745239	right	chr1
85751170	85825931	left	chr1
85831457	85871808	right	chr1
85877676	85946617	left	chr1
85952130	86050132	right	chr1
86073009	86107657	left	chr1
86113168	86210824	right	chr1
86216765	86314565	left	chr1
86320062	86354602	right	chr1
86360308	86446724	left	chr1
86452662	86526986	right	chr1
86533174	86878169	left	chr1
86883835	87199875	right	chr1
87205436	87389800	left	chr1
87406794	87567888	right	chr1
87573447	87590847	left	chr1
87596885	87711576	right	chr1
87717303	87872670	left	chr1
87878252	87941871	right	chr1
87953034	88027890	left	chr1
88033805	88045169	right	chr1
88056679	88183065	left	chr1
88188853	88418971	right	chr1
88424622	88453659	left	chr1
88459222	88545446	right	chr1
88551077	88631899	left	chr1
88637580	88660622	right	chr1
88666040	88763778	left	chr1
88775624	88930909	right	chr1
88936615	89040152	left	chr1
89045747	89091921	right	chr1
89097555	89200737	left	chr1
89206438	89218254	right	chr1
89223969	89264001	left	chr1
89269916	89350673	right	chr1
89356054	89603373	left	chr1
89609047	89885125	right	chr1
89891092	90051993	left	chr1
90057906	90092368	right	chr1
90097794	90132693	left	chr1
90137975	90253302	right	chr1
90258895	90351229	left	chr1
90356780	90368044	right	chr1
90374076	90385358	left	chr1
90391330	90408640	right	chr1
90414207	90701700	left	chr1
90707250	90897438	right	chr1
90902806	90914534	left	chr1
90931471	91012297	right	chr1
91017807	91057997	left	chr1
91069629	91087194	left	chr1
91098463	91190654	right	chr1
91196093	91270939	left	chr1
91276921	91357392	right	chr1
91363021	91397479	left	chr1
91414446	91489421	right	chr1
91495185	91587118	left	chr1
91592834	91610244	right	chr1
91621755	91650289	right	chr1
91656116	91788641	left	chr1
91794063	91805640	right	chr1
91811224	91966958	left	chr1
91972448	92167976	right	chr1
92173789	92432460	left	chr1
92438076	92449836	right	chr1
92455177	92506988	left	chr1
92518823	92846694	right	chr1
92852283	92863911	left	chr1
92880757	92915440	left	chr1
92920990	93030251	right	chr1
93036372	93116496	left	chr1
93122337	93220392	right	chr1
93225894	93294845	left	chr1
93300913	93380989	right	chr1
93386812	93473407	left	chr1
93478691	93496148	right	chr1
93501750	93542302	left	chr1
93547790	93645767	right	chr1
93651346	93806875	left	chr1
93852712	93915900	right	chr1
93921575	94525277	left	chr1
94537125	94634554	right	chr1
94640417	94663665	left	chr1
94675077	94738254	left	chr1
94749901	94905215	right	chr1
94910581	95002729	left	chr1
95019921	95192364	left	chr1
95198024	95215513	right	chr1
95221083	95313480	left	chr1
95324817	95456744	right	chr1
95462874	95566119	left	chr1
95571901	95750339	right	chr1
95755742	95905387	left	chr1
95911110	96060907	right	chr1
96066313	96187255	left	chr1
96198466	96365500	right	chr1
96371026	96497516	left	chr1
96503467	96543975	right	chr1
96549266	96652995	left	chr1
96658766	96762315	right	chr1
96767994	96785482	left	chr1
96791003	96819769	right	chr1
96825189	96842609	left	chr1
96860133	96952049	left	chr1
96974909	97170717	left	chr1
97175955	97820385	right	chr1
97825694	97849171	left	chr1
97854458	97900604	right	chr1
97906384	97975713	left	chr1
97981043	98050476	right	chr1
98055818	98630923	left	chr1
98636512	98711670	right	chr1
98717055	98826421	left	chr1
98843795	99165798	right	chr1
99171223	99234903	left	chr1
99240441	99510794	right	chr1
99516565	99798483	left	chr1
99804149	99930707	right	chr1
99936274	100097054	left	chr1
100103104	100200540	right	chr1
100206547	100304042	left	chr1
100310069	100413651	right	chr1
100418929	100442390	left	chr1
100453493	100465412	right	chr1
100471161	100488007	left	chr1
100499639	100701182	right	chr1
100706535	100821807	left	chr1
100827618	100942521	right	chr1
100948087	101172467	left	chr1
101183739	101316132	right	chr1
101322059	101454041	left	chr1
101460022	101569415	right	chr1
101574824	101609733	left	chr1
101615172	101666952	right	chr1
101672588	101724417	left	chr1
101730385	101787745	right	chr1
101799200	101960216	left	chr1
101965895	102172800	right	chr1
102196085	102288135	left	chr1
102299550	102380013	right	chr1
102385770	102483273	left	chr1
102489372	102563762	right	chr1
102569882	102673022	left	chr1
102678773	102811439	right	chr1
102816870	102995330	left	chr1
103000678	103035617	right	chr1
103041377	103104404	left	chr1
103115900	103288425	right	chr1
103294330	103351485	left	chr1
103357439	103455005	right	chr1
103460936	103553007	left	chr1
103558716	103834614	right	chr1
103840234	104070365	left	chr1
104087435	104311800	right	chr1
104323343	104392733	left	chr1
104398176	104415729	right	chr1
104421235	104519069	left	chr1
104524565	104616708	right	chr1
104622667	104714383	left	chr1
104725716	104858004	right	chr1
104864110	104932776	left	chr1
104961481	105082730	left	chr1
105088120	105157189	right	chr1
105162829	105214877	left	chr1
105232137	105318168	left	chr1
105329692	105433280	right	chr1
105439174	105565461	left	chr1
105570944	105755418	right	chr1
105761013	105783768	left	chr1
105789886	105881711	right	chr1
105887474	105973618	left	chr1
105979669	105990846	right	chr1
106008074	106031248	right	chr1
106036914	106192096	left	chr1
106209293	106278347	left	chr1
106284242	106376178	right	chr1
106381769	106531237	left	chr1
106537057	106611997	right	chr1
106623645	106692234	left	chr1
106697951	106778954	right	chr1
106790186	106819234	left	chr1
106836217	106870980	left	chr1
106876386	107089433	right	chr1
107117768	107146836	left	chr1
107181327	107336294	right	chr1
107342020	107549019	left	chr1
107554977	107635318	right	chr1
107641370	107871063	left	chr1
107876816	107997643	right	chr1
108009359	108216214	left	chr1
108227593	108319836	right	chr1
108348438	108457525	right	chr1
108463499	108566988	left	chr1
108578467	108612947	right	chr1
108618780	108653158	left	chr1
108659138	108762264	right	chr1
108767949	108860107	left	chr1
108865699	109107269	right	chr1
109113424	109245630	left	chr1
109251103	109423836	right	chr1
109429397	109590255	left	chr1
109596299	109699495	right	chr1
109705637	109929582	left	chr1
109935652	110039176	right	chr1
110044600	110148400	left	chr1
110154077	110199868	right	chr1
110205758	110314830	left	chr1
110320715	110418435	right	chr1
110423944	110481651	left	chr1
110493100	110596648	right	chr1
110608081	110705855	left	chr1
110711685	110895841	right	chr1
110901559	111056499	left	chr1
111074065	111085344	left	chr1
111091360	111212018	right	chr1
111217427	111315463	left	chr1
111320966	111539493	right	chr1
111551051	111654974	left	chr1
111660591	111763977	right	chr1
111769866	111861673	left	chr1
111878760	111930828	right	chr1
111947690	112045936	left	chr1
112051576	112120490	right	chr1
112126094	112143532	left	chr1
112160466	112241043	right	chr1
112246727	112379001	left	chr1
112385025	112459507	right	chr1
112470974	112591761	left	chr1
112597829	112764504	right	chr1
112776125	112890861	left	chr1
112896634	113000114	right	chr1
113005881	113126563	left	chr1
113132362	113241714	right	chr1
113247621	113362239	left	chr1
113368099	113437275	right	chr1
113443066	113529327	left	chr1
113563623	113661492	right	chr1
113667143	113822288	left	chr1
113845195	113897332	right	chr1
113914250	113926082	right	chr1
113931565	114161555	left	chr1
114167314	114334312	right	chr1
114340028	114501234	left	chr1
114506611	114627447	right	chr1
114633366	114730942	left	chr1
114742485	114782721	right	chr1
114794128	114828664	right	chr1
114840257	114926558	left	chr1
114932024	115156258	right	chr1
115162397	115363477	left	chr1
115386619	115530398	right	chr1
115535917	115582061	left	chr1
115587670	115685488	right	chr1
115697090	115725674	left	chr1
115742785	115835087	right	chr1
115840570	115921484	left	chr1
115926975	116059351	right	chr1
116065134	116208950	left	chr1
116214626	116231603	right	chr1
116237205	116295121	left	chr1
116300795	116369678	right	chr1
116375212	116513607	left	chr1
116525128	116565336	right	chr1
116571175	116726341	left	chr1
116732160	116835435	right	chr1
116841425	116864049	left	chr1
116869888	117013594	right	chr1
117019271	117105942	left	chr1
117111213	117220731	right	chr1
117226286	117278312	left	chr1
117284129	117295429	right	chr1
117312547	117496883	left	chr1
117502607	117599988	right	chr1
117605949	117761476	left	chr1
117766833	118273094	right	chr1
118278640	118502970	left	chr1
118508730	118652442	right	chr1
118658143	118773349	left	chr1
118779008	118813472	right	chr1
118818994	118894102	left	chr1
118899450	119020283	right	chr1
119026260	119135660	left	chr1
119141399	119239123	right	chr1
119244782	119313805	left	chr1
119319490	119411663	right	chr1
119417040	119612920	left	chr1
119618656	119831068	right	chr1
119837081	119940630	left	chr1
119946111	119974891	right	chr1
119980841	120302777	left	chr1
120325836	120549874	left	chr1
120555482	120584246	right	chr1
120590422	120739835	left	chr1
120745457	120802734	right	chr1
120808496	120848758	left	chr1
120871996	120958152	right	chr1
120964011	121038526	left	chr1
121044397	121107884	right	chr1
121113554	121205559	left	chr1
121211326	121268826	right	chr1
121274506	121360596	left	chr1
121366671	121550694	right	chr1
121561863	121653943	left	chr1
121665271	121745800	right	chr1
121751559	121849308	left	chr1
121855226	121976038	right	chr1
121981653	122067844	left	chr1
122073919	122119528	right	chr1
122125297	122148506	left	chr1
122154368	122274735	right	chr1
122286180	122401356	left	chr1
122407277	122516320	right	chr1
122522362	122550940	left	chr1
122556510	122596989	right	chr1
122602441	122803936	left	chr1
122809733	122907568	right	chr1
122913416	122993864	left	chr1
122999355	123074133	right	chr1
123079806	123189092	left	chr1
123194775	123373018	right	chr1
123378740	123505367	left	chr1
123511258	123540163	right	chr1
123551201	123724138	right	chr1
123729783	123838951	left	chr1
123844699	123925000	right	chr1
123930679	123982724	left	chr1
123988642	124103483	right	chr1
124109331	124172626	left	chr1
124183693	124339244	left	chr1
124344924	124373603	right	chr1
124391029	124419666	right	chr1
124425431	124465782	left	chr1
124471656	124500025	right	chr1
124505784	124580565	left	chr1
124586355	124678707	right	chr1
124684328	124816363	left	chr1
124822423	124908632	right	chr1
124914147	125006125	left	chr1
125012049	125483581	right	chr1
125489157	125811187	left	chr1
125817124	125834010	right	chr1
125839957	125937637	left	chr1
125943267	125972073	right	chr1
125983467	126001030	right	chr1
126006439	126052932	left	chr1
126058322	126138926	right	chr1
126144877	126213587	left	chr1
126219390	126656659	right	chr1
126662410	126679440	left	chr1
126685071	126794624	right	chr1
126800405	126840559	left	chr1
126846333	126886265	right	chr1
126892291	127047701	left	chr1
127064903	127289135	left	chr1
127294831	127467075	right	chr1
127472903	127484377	left	chr1
127501730	127771988	right	chr1
127777644	127996025	left	chr1
128002064	128140166	right	chr1
128162818	128301196	right	chr1
128306809	128387197	left	chr1
128392775	128438872	right	chr1
128444866	128576941	left	chr1
128582652	128651538	right	chr1
128663143	128766792	left	chr1
128772645	128789617	right	chr1
128795510	129122996	left	chr1
129140183	129301511	left	chr1
129307360	129341968	right	chr1
129347546	129387607	left	chr1
129393427	129474180	right	chr1
129479790	129520086	left	chr1
129525599	129600492	right	chr1
129606183	129652163	left	chr1
129658093	129675390	right	chr1
129680925	129767315	left	chr1
129772799	129997334	right	chr1
130002956	130014379	left	chr1
130019938	130405640	right	chr1
130411026	130445797	left	chr1
130457174	130664459	right	chr1
130670130	130865505	left	chr1
130871353	130974677	right	chr1
130980507	130997868	left	chr1
131009296	131037809	left	chr1
131043693	131077999	right	chr1
131083937	131158817	left	chr1
131164547	131204676	right	chr1
131210201	131354133	left	chr1
131360020	131538416	right	chr1
131544155	131710508	left	chr1
131716217	131814460	right	chr1
131831196	131958136	right	chr1
131963491	132078844	left	chr1
132084257	132176419	right	chr1
132181981	132291645	left	chr1
132297017	132366315	right	chr1
132371700	132510088	left	chr1
132515760	132533052	right	chr1
132544591	132659501	left	chr1
132665416	132860886	right	chr1
132878169	132895328	right	chr1
132912299	133021935	right	chr1
133027554	133136732	left	chr1
133142459	133268831	right	chr1
133274850	133395685	left	chr1
133401109	133550510	right	chr1
133556547	133717602	left	chr1
133723404	133866842	right	chr1
133872695	133895761	left	chr1
133901600	134068408	right	chr1
134073907	134114318	left	chr1
134119734	134194528	right	chr1
134200328	134286770	left	chr1
134292571	134372934	right	chr1
